,started_at,total_trips
0,2023-01-01,6787
1,2023-01-02,7240
2,2023-01-03,7559
3,2023-01-04,7791
4,2023-01-05,8409
5,2023-01-06,6719
6,2023-01-07,7122
7,2023-01-08,5176
8,2023-01-09,6520
9,2023-01-10,7303
10,2023-01-11,7155
11,2023-01-12,6655
12,2023-01-13,6490
13,2023-01-14,4870
14,2023-01-15,5308
15,2023-01-16,6421
16,2023-01-17,5917
17,2023-01-18,8186
18,2023-01-19,5856
19,2023-01-20,7394
20,2023-01-21,6961
21,2023-01-22,4001
22,2023-01-23,5722
23,2023-01-24,7765
24,2023-01-25,4426
25,2023-01-26,7546
26,2023-01-27,6814
27,2023-01-28,8712
28,2023-01-29,4770
29,2023-01-30,7686
30,2023-01-31,4796
31,2023-02-01,6886
32,2023-02-02,6789
33,2023-02-03,4660
34,2023-02-04,4015
35,2023-02-05,6412
36,2023-02-06,6711
37,2023-02-07,7691
38,2023-02-08,9594
39,2023-02-09,9304
40,2023-02-10,9209
41,2023-02-11,8271
42,2023-02-12,2369
43,2023-02-13,7668
44,2023-02-14,9218
45,2023-02-15,9328
46,2023-02-16,6939
47,2023-02-17,5026
48,2023-02-18,7006
49,2023-02-19,8718
50,2023-02-20,7650
51,2023-02-21,8774
52,2023-02-22,7900
53,2023-02-23,11627
54,2023-02-24,8268
55,2023-02-25,5056
56,2023-02-26,7928
57,2023-02-27,5704
58,2023-02-28,8870
59,2023-03-01,9210
60,2023-03-02,9196
61,2023-03-03,4377
62,2023-03-04,9264
63,2023-03-05,10454
64,2023-03-06,8653
65,2023-03-07,8243
66,2023-03-08,8706
67,2023-03-09,9476
68,2023-03-10,5056
69,2023-03-11,7386
70,2023-03-12,5110
71,2023-03-13,6697
72,2023-03-14,6356
73,2023-03-15,7096
74,2023-03-16,10384
75,2023-03-17,9102
76,2023-03-18,12008
77,2023-03-19,5897
78,2023-03-20,8562
79,2023-03-21,11257
80,2023-03-22,12795
81,2023-03-23,14388
82,2023-03-24,5294
83,2023-03-25,7537
84,2023-03-26,18670
85,2023-03-27,10579
86,2023-03-28,12302
87,2023-03-29,12755
88,2023-03-30,11684
89,2023-03-31,11936
90,2023-04-01,11380
91,2023-04-02,12916
92,2023-04-03,12734
93,2023-04-04,15304
94,2023-04-05,15113
95,2023-04-06,12443
96,2023-04-07,11380
97,2023-04-08,12962
98,2023-04-09,11910
99,2023-04-10,12163
100,2023-04-11,14327
101,2023-04-12,15258
102,2023-04-13,15611
103,2023-04-14,14837
104,2023-04-15,15285
105,2023-04-16,14806
106,2023-04-17,11583
107,2023-04-18,13737
108,2023-04-19,14238
109,2023-04-20,14947
110,2023-04-21,15423
111,2023-04-22,10163
112,2023-04-23,13691
113,2023-04-24,12022
114,2023-04-25,13474
115,2023-04-26,13235
116,2023-04-27,13979
117,2023-04-28,2827
118,2023-04-29,15665
119,2023-04-30,5830
120,2023-05-01,11688
121,2023-05-02,10823
122,2023-05-03,11520
123,2023-05-04,13033
124,2023-05-05,14387
125,2023-05-06,16732
126,2023-05-07,11951
127,2023-05-08,12864
128,2023-05-09,12529
129,2023-05-10,15509
130,2023-05-11,15435
131,2023-05-12,15563
132,2023-05-13,10401
133,2023-05-14,15111
134,2023-05-15,13546
135,2023-05-16,13548
136,2023-05-17,15178
137,2023-05-18,14985
138,2023-05-19,16163
139,2023-05-20,15216
140,2023-05-21,14971
141,2023-05-22,13776
142,2023-05-23,15092
143,2023-05-24,15187
144,2023-05-25,14786
145,2023-05-26,15066
146,2023-05-27,15929
147,2023-05-28,13824
148,2023-05-29,7793
149,2023-05-30,13851
150,2023-05-31,15495
151,2023-06-01,15507
152,2023-06-02,15131
153,2023-06-03,16762
154,2023-06-04,15054
155,2023-06-05,13645
156,2023-06-06,15289
157,2023-06-07,14191
158,2023-06-08,11576
159,2023-06-09,14477
160,2023-06-10,17668
161,2023-06-11,15399
162,2023-06-12,11411
163,2023-06-13,15746
164,2023-06-14,16141
165,2023-06-15,16619
166,2023-06-16,14709
167,2023-06-17,16906
168,2023-06-18,15187
169,2023-06-19,14342
170,2023-06-20,15496
171,2023-06-21,6689
172,2023-06-22,12271
173,2023-06-23,9391
174,2023-06-24,16813
175,2023-06-25,15682
176,2023-06-26,12975
177,2023-06-27,12847
178,2023-06-28,15841
179,2023-06-29,13816
180,2023-06-30,13089
181,2023-07-01,13037
182,2023-07-02,13428
183,2023-07-03,14079
184,2023-07-04,19930
185,2023-07-05,13749
186,2023-07-06,14441
